Nombre_Canal,Url_Canal
Pluto TV Cine Romance,https://pluto.tv/live-tv/62c5d80dc6de440007e033eb/details
Younger,https://pluto.tv/live-tv/5dcde1317578340009b751d0/details
Pluto TV Novelas de Mexico,https://pluto.tv/live-tv/66a26a7846762a0008258d4e/details
Pluto TV Cine Suspenso,https://pluto.tv/live-tv/61b793ccf571b80007b7a610/details
MTV Reality,https://pluto.tv/live-tv/5ffe17e3d765170007c3a4fe/details
Pluto TV Adrenalina Freezone,https://pluto.tv/live-tv/624af40c004f8000079b784d/details
MTV Shore,https://pluto.tv/live-tv/5dcde0cc2efd2700090b7ff4/details
MTV Con Mi Ex,https://pluto.tv/live-tv/66aa6e03fe11e500086038ed/details
Sin Tetas No Hay Paraíso,https://pluto.tv/live-tv/639751f81a36b400072b8f5a/details
Runtime,https://pluto.tv/live-tv/5dcddf1ed95e740009fef7ab/details
Pluto TV Dramas Coreanos,https://pluto.tv/live-tv/5de802659167b10009e7deba/details
Infierno Sobre Ruedas,https://pluto.tv/live-tv/63eb9255c111bc0008fe6ec4/details
Pluto TV Cine Drama,https://pluto.tv/live-tv/5e972a21ad709d00074195ba/details
Descubriendo Pluto TV,https://pluto.tv/live-tv/604bdf4e6d0abc0007ba77ad/details
Pluto TV Cine Terror,https://pluto.tv/live-tv/5f2817d3d7573a00080f9175/details
Pluto TV Series de Acción,https://pluto.tv/live-tv/5e98a911c881310007d7aae2/details
Pluto TV Novelas de Venezuela,https://pluto.tv/live-tv/5dcddfcb229eff00091b6bdf/details
Estrellas de Acción,https://pluto.tv/live-tv/5e793a7cfbdf780007f7eb75/details
MTV Ridiculousness,https://pluto.tv/live-tv/665fb022f78a8500095965a9/details
Pluto TV Novelas de Argentina,https://pluto.tv/live-tv/5dcdde78f080d900098550e4/details
CSI: Miami,https://pluto.tv/live-tv/655f62ff954b020008c91ec6/details
MacGyver,https://pluto.tv/live-tv/6474a7958e3c0a0008b97cae/details
Pluto TV Cine Familia,https://pluto.tv/live-tv/5dcde197f6591d0009839e04/details
La Academia,https://pluto.tv/live-tv/5fab088b3279760007d4e4fd/details
NCIS,https://pluto.tv/live-tv/5dd7ea2aeab5230009986735/details
MTV Teen Mom,https://pluto.tv/live-tv/64ff26233efb5100082eeb2e/details
Pluto TV Novelas de Colombia,https://pluto.tv/live-tv/64ff270f30ab3300084e259c/details
MTV Drag,https://pluto.tv/live-tv/5dcb62e63d4d8f0009f36881/details
Pluto TV Cine Comedia,https://pluto.tv/live-tv/6474a8c64f5ba50008683603/details
Pluto TV A La Mexicana,https://pluto.tv/live-tv/61a52615cbef2500072876e2/details
Pluto TV  Nuestro Cine,https://pluto.tv/live-tv/6474a86917f5e100089a0c1c/details
Rookie Blue: Policías Novatos,https://pluto.tv/live-tv/609059dc63be6e0007b4eca6/details
La Selección,https://pluto.tv/live-tv/5dd837642c6e9300098ad484/details
Pluto TV Series de Crimen,https://pluto.tv/live-tv/638693db857364000781b471/details
MTV Pluto TV,https://pluto.tv/live-tv/6474a7e7f77b6100080a89e7/details
Al Fondo Hay Sitio,https://pluto.tv/live-tv/5dcde437229eff00091b6c30/details
Pluto TV España,https://pluto.tv/live-tv/646ccdd0939a5900088a1980/details
Pluto TV Dramas Coreanos Teen,https://pluto.tv/live-tv/63eb95baa99571000898a078/details
Pluto TV Novelas,https://pluto.tv/live-tv/64510d3ad3fdde00080951f2/details
Pluto TV Retro Cartoons,https://pluto.tv/live-tv/5de91b7ea86ee60009d89e75/details
Pluto TV Cine Crimen,https://pluto.tv/live-tv/655f636d954b020008c93299/details
Baywatch,https://pluto.tv/live-tv/5defde6d6c07b50009cf0757/details
Corazón,https://pluto.tv/live-tv/620fd9f4afb9a80007a9c6d5/details
Vive Kanal D Drama,https://pluto.tv/live-tv/5dfcde52d28b09000a42d7a2/details
Pluto TV Cine Estelar,https://pluto.tv/live-tv/6479ff1c17f5e10008ad2797/details
Pluto TV Series Retro,https://pluto.tv/live-tv/5dd6ddb30a1d8a000908ed4c/details
Pluto TV Cine Clásico,https://pluto.tv/live-tv/60142258a54aeb0007751c15/details
Pluto TV Series de Drama,https://pluto.tv/live-tv/6661d5424b10960008599fa3/details
Pluto TV Sci-Fi,https://pluto.tv/live-tv/6185a9a88b2ce30007de5128/details
Pluto TV Series,https://pluto.tv/live-tv/5ddc4e8bcbb9010009b4e84f/details
Pluto TV Cine Acción,https://pluto.tv/live-tv/63eb947c4e83e70008ab877b/details
Pluto TV Reality,https://pluto.tv/live-tv/619d56d9fa3070000709e3f7/details
Pluto TV Series Latinas,https://pluto.tv/live-tv/63211ba9cad976000794f988/details
