title,genre,classification,duration,synopsis,url
"Babar, La Película",Children & Family,G,1hr 16 min,"La historia empieza con un desfile y, después cuando termina, el rey Babar le cuenta a sus hijos cómo fue su primer día como rey.",https://pluto.tv/on-demand/movies/5df7b722e955846fcffcc1f6/details
Izzie's Way Home,Children & Family,N/A,1hr 17 min,"Un pez de acuario escapa de un yate a su casa, sin darse cuenta de los peligros que la esperan en el océano abierto. Con la ayuda de otras criaturas marinas, aprende a enfrentar los peligros de las profundidades.",https://pluto.tv/on-demand/movies/5e50530b0b9872c74eeaead1/details
Rápido y peludo,Children & Family,TV-G,1hr 31 min,"Cuando su familia se va de vacaciones, un perro joven se encuentra en una prisión para perros de la que debe escapar con la ayuda de sus nuevos amigos.",https://pluto.tv/on-demand/movies/62ffebc8c24630001a8b21b8/details
Garfield Gets Real,Children & Family,TV-Y,1hr 18 min,"Sigue a Garfield detrás de escena en Cartoon World, donde se aburre de su vida como estrella del cómic. Pensando que la vida es más verde al otro lado de la realidad, Garfield decide escapar al ""mundo real"".",https://pluto.tv/on-demand/movies/5f358844c88558001324ac05/details
El Ángel en el Reloj,Children & Family,G,1hr 30 min,"Una niña enferma desea detener el tiempo. Este deseo la llevará a una aventura de autodescubrimiento y de aprendizaje sobre la vida, la muerte y la relatividad.",https://pluto.tv/on-demand/movies/6107ef8e94cf330013d2b5f0/details
Una Aventura en Hielo,Children & Family,TV-G,1hr 34 min,"Buffet es un pingüino de carácter cuestionable. Recluta a sus amigos Euri, un yak perezoso y amigable, y Luke, un conejo de ritmo rápido y fanático de las artes marciales, para participar en una aventura hacia el Polo Sur.",https://pluto.tv/on-demand/movies/5fda40beaabcdd001aaf4866/details
The Ten Commandments,Children & Family,PG,1hr 24 min,"En esta adaptación animada de la Biblia, Moisés escucha la voz de Dios desde una zarza ardiente, lo que lo inspira a enfrentarse al faraón de Egipto y exigir la libertad de los esclavos israelitas.",https://pluto.tv/on-demand/movies/65089b65f439aa0013645b5c/details
Teenage Mutant Ninja Turtles,Children & Family,TV-Y,1hr 34 min,"Después de meterse en un charco de desechos radiactivos, estos reptiles se transforman en el cuarteto de lucha contra el crimen más feroz de Nueva York.",https://pluto.tv/on-demand/movies/5fa95ea993fb64001a774c72/details
Plumíferos - Aventuras Voladoras,Children & Family,TV-Y,1hr 23 min,"Juan es un simple gorrión de ciudad, pero con grandes dotes de vuelo, y que sueña con ser un pájaro exótico.",https://pluto.tv/on-demand/movies/6127946c964d2000141b98f2/details
Foodfight!,Children & Family,TV-PG,1hr 31 min,El malvado Brand X se une a un supermercado que se convierte en ciudad después de la hora de cierre.,https://pluto.tv/on-demand/movies/62d7ff2680410e0013d7ee3a/details
Legends of Oz: El regreso de Dorothy,Children & Family,TV-PG,1hr 32 min,"La niña Dorothy es llevada de regreso al mundo mágico de Oz, donde conoce a viejos amigos Tin Man, Scarecrow y Lion, sin embargo pronto descubre que todos los habitantes del reino corren un serio riesgo gracias a los actos del malvado bufón.",https://pluto.tv/on-demand/movies/60e4704083c54e001398ab70/details
El rey mono,Children & Family,G,1hr 32 min,"En el mágico mundo de la mitología china, el famoso Rey Mono es expulsado del panteón por los monjes Tang y regresa a la montaña sagrada, donde vivirá una gran aventura para recuperar su lugar.",https://pluto.tv/on-demand/movies/6474c0d413c2c2001a64a18e/details
El increíble zorro,Children & Family,N/A,1hr 13 min,"La emocionante historia de Don Diego Vega, un joven aristócrata perezoso de la vieja California, viviendo una vida secreta como el Zorro, el misterioso vengador enmascarado y defensor de los oprimidos",https://pluto.tv/on-demand/movies/62503f31228ab000133ac88a/details
Franklin y el Caballero Verde,Children & Family,G,1hr 15 min,"En pleno invierno, una tortuga intrépida se embarca en una búsqueda para traer la primavera a su ciudad natal.",https://pluto.tv/on-demand/movies/5df7b724e955846fcffcc22e/details
De regreso al fondo del mar,Children & Family,TV-G,1hr 37 min,Back to the Bottom of the Sea cuenta la conmovedora historia del viaje a casa de un pez dorado.,https://pluto.tv/on-demand/movies/5fda40c4aabcdd001aaf4916/details
